"업체(시설)명","인허가번호","업종코드","업종명","지도점검일자","점검기관","점검기관명","지도점검구분","처분대상여부","점검사항","점검결과","소재지도로명주소","소재지주소"
"대성기업","301000022199701246","22","","20110823","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리적정여부","","","서울특별시 중구 주교동 242번지 "
"종합기획","301000022199701245","22","","20110823","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리적정여부","","","서울특별시 중구 주교동 222-2번지 "
"혜성산업","301000022199701241","22","","20110823","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리적정여부","","","서울특별시 중구 주교동 253번지 "
"에이원","301000022200400050","22","","20111007","3010000","서울특별시 중구","정기","","폐수보관및위탁처리 적정여부","","","서울특별시 중구 필동3가 28-10번지 4층 "
"예림그래픽","301000022200700022","22","","20111007","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동2가 113-1번지 (2층) "
"APRO(에이프로)","301000022201000030","22","","20111017","3010000","서울특별시 중구","정기","","폐수보관 및 위탁처리 적정여부","","","서울특별시 중구 필동3가 18-9번지 "
"진아트","301000022201000024","22","","20111017","3010000","서울특별시 중구","정기","","폐수 보관 및 위탁처리 적정여부","","","서울특별시 중구 필동3가 21-3번지 3층 "
"합진그래픽","301000022200600011","22","","20111115","3010000","서울특별시 중구","정기","","폐수보관및위탁처리 적정여부","","","서울특별시 중구 필동2가 13-7번지 (403호) "
"대한그래픽스","301000022201000022","22","","20111109","3010000","서울특별시 중구","정기","","폐수보관 및 위탁처리 적정여부","","","서울특별시 중구 필동1가 21-7번지 3층 "
"(주)신진피앤피","301000022200200179","22","","20111109","3010000","서울특별시 중구","정기","","폐수보관및위탁처리 적정여부","","","서울특별시 중구 필동1가 24-8번지 "
"원프로세스","301000022200200210","22","","20111109","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동1가 23-10번지 2층 "
"(주)대광프로세스","301000022200200012","22","","20111109","3010000","서울특별시 중구","정기","","폐수보관 및 위탁처리 적정여부","","","서울특별시 중구 필동1가 24-8번지 "
"현대염색","301000022199701152","22","","20111103","3010000","서울특별시 중구","합동","","배출시설및 방지시설 정상가동 여부","","","서울특별시 중구 주교동 102-1번지 "
"부건프로세스","301000022200500081","22","","20111201","3010000","서울특별시 중구","정기","","폐수보관및위탁처리적정여부","","","서울특별시 중구 인현동1가 10-1번지 "
"일신염색","301000022200001352","22","","20120523","3010000","서울특별시 중구","합동","","합동점검","","","서울특별시 중구 주교동 289번지 "
"성심사","301000022199500579","22","","20121024","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 주교동 265-4번지 (2층) "
"명성문화","301000022200800049","22","","20121015","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 인현동2가 197-17번지 "
"(주)알티에스넷","301000022200001513","22","","20121121","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동3가 55-2번지 "
"(주)반프로","301000022199700315","22","","20121121","3010000","서울특별시 중구","정기","","폐수보관 및 위탁처리 적정여부","","","서울특별시 중구 필동2가 112-1번지 "
"예지미술","301000022200300103","22","폐수배출업소관리","20100316","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리 적정여부","","","서울특별시 중구 충무로3가 38-1번지 (2층) "
"거산씨앤와이(주)","301000022200001270","22","폐수배출업소관리","20100318","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로4가 108-10번지 "
"비젼프린테크","301000022200400007","22","폐수배출업소관리","20100318","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로4가 131-6번지 (2층) "
"으뜸프로세스(주)","301000022200001788","22","","20121121","3010000","서울특별시 중구","정기","","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동3가 27-1번지 "
"대우문화인쇄","301000022200800029","22","폐수배출업소관리","20100318","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 인현동2가 135-32번지 "
"한일아트(주)","301000022199500963","22","폐수배출업소관리","20100323","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-14번지 "
"영일","301000022200001640","22","폐수배출업소관리","20100323","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-5번지 2층 "
"위캔그랙픽","301000022200400020","22","폐수배출업소관리","20100323","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 24-16번지 인보빌딩3층 "
"삼우교정","301000022200500064","22","폐수배출업소관리","20100323","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 28-2번지 "
"한국원색교정","301000022200500095","22","폐수배출업소관리","20100323","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-14번지 (3층) "
"(주)뿌리커뮤니케이션","301000022199500908","22","폐수배출업소관리","20100319","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 39-1번지 "
"(주)와이앤디","301000022200200203","22","폐수배출업소관리","20100319","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 51-2번지 "
"중앙아트그라픽스","301000022200001774","22","폐수배출업소관리","20100319","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동1가 3-6번지 서울빌딩302호 "
"선우","301000022200300102","22","폐수배출업소관리","20100319","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 40-9번지 "
"유림기획","301000022200500015","22","폐수배출업소관리","20100319","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 을지로3가 296-11번지 4층 "
"진영아트","301000022199500359","22","폐수배출업소관리","20100322","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동1가 39-3번지 (대도빌딩302호) "
"와와프린트(주)","301000022200001765","22","폐수배출업소관리","20100322","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 26-2번지 "
"(주)와이투컴","301000022200400105","22","폐수배출업소관리","20100322","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 51-6번지 용봉빌딩3층 "
"가나커뮤니케이션","301000022200500072","22","폐수배출업소관리","20100322","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 51-7번지 우형빌딩1층 "
"상경커뮤니케이션즈","301000022199500940","22","폐수배출업소관리","20100324","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 24-4번지 "
"리얼프린트","301000022200300120","22","폐수배출업소관리","20100324","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 초동 42번지 아시아미디어타워8층805호 "
"이지미술","301000022200400069","22","폐수배출업소관리","20100324","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 24-3번지 (제복빌딩201호) "
"(주)아이씽크피엔씨","301000022200500077","22","폐수배출업소관리","20100324","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 24-3번지 "
"커뮤니케이션인맥","301000022200900031","22","폐수배출업소관리","20100324","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 24-1번지 "
"삼화전산","301000022200900041","22","폐수배출업소관리","20100324","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 24-17번지 세림빌딩4층 "
"월드필름","301000022199501048","22","폐수배출업소관리","20100413","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 28-1번지 "
"매일출력","301000022200300042","22","폐수배출업소관리","20100413","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 28-4번지 "
"알래스카커뮤니케이션즈","301000022200700001","22","폐수배출업소관리","20100413","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 초동 42번지 아시아미디어타워606~607호 "
"맥프로세스","301000022200001854","22","폐수배출업소관리","20100413","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 저동2가 47-11번지 "
"메카그래픽스","301000022200200138","22","폐수배출업소관리","20100413","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동2가 74-13번지 "
"세진종합미술","301000022200300089","22","폐수배출업소관리","20100414","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리적정여부 폐기물보관실태 및 처리계획 적정여부","","서울특별시 중구 퇴계로27길 60 (초동)","서울특별시 중구 초동 156-15번지 "
"(주)경향신문사","301000022198200006","22","폐수배출업소관리","20100414","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리적정여부 폐기물보관실태 및 처리계획 적정여부","","","서울특별시 중구 정동 22번지 "
"삼우아트","301000022200800046","22","폐수배출업소관리","20100414","3010000","서울특별시 중구","합동","N","폐수보관및 위탁처리적정여부 폐기물보관실태 및 처리계획 적정여부","","","서울특별시 중구 을지로3가 291-16번지 명성빌딩2층 "
"좋은그림","301000022199701105","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 25-10번지 "
"(주)포토피아","301000022200001356","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 24-8번지 "
"트윈컴","301000022200200170","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 25-12번지 "
"(주)애니프린팅","301000022200400033","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 25-10번지 (3층) "
"(주)조은피앤피","301000022200400053","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 24-6번지 (3층) "
"해브","301000022201000002","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 25-9번지 "
"한성출력","301000022199500957","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 29-1번지 "
"예지커뮤니케이션","301000022200001792","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 30-17번지 12층 "
"건영아트컴","301000022200400037","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 28-4번지 (3층) "
"진솔씨티피(주)","301000022200700014","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 43번지 충무로타워 지하1층 "
"(주)애드큐","301000022200700034","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 43번지 충무로타워2층 "
"금호기획인쇄","301000022200700045","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 24-5번지 (1층) "
"팝콘디지털프린팅","301000022200900035","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 30-5번지 "
"대성출력센타","301000022199500277","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-24번지 "
"충무알쓰리","301000022200001369","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-24번지 상강빌딩2층 "
"명성인쇄사","301000022200400022","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 49-4번지 (2층) "
"베스트프린팅","301000022200800015","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-22번지 "
"(주)빈야드","301000022200900008","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-22번지 "
"엘에스커뮤니케이션","301000022200900015","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-5번지 청맥빌딩3층 "
"태양문화","301000022199500818","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 52-4번지 "
"클릭","301000022199701077","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 51-17번지 "
"정광프로세스","301000022200300015","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","서울특별시 중구 삼일대로8길 9 6층 (충무로2가)","서울특별시 중구 충무로2가 48-4번지 "
"동신인쇄","301000022200300123","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 49-21번지 "
"신영칼라","301000022200900012","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 48-4번지 제일빌딩5층 "
"(주)조은프린트","301000022200900018","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 48-10번지 2층 "
"디원","301000022200900028","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 저동2가 46-12번지 2층 "
"(주)이현상소","301000022200400068","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 49-7번지 "
"칼라교정","301000022200400112","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로4가 131-6번지 (2층) "
"팬다콤프로세스","301000022199500962","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 57-1번지 2층 "
"팬다콤프로세스","301000022200400107","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-4번지 (2층) "
"승리문화사","301000022199500964","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-2번지 "
"신한피플","301000022200001547","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-14번지 "
"쌍용인쇄사","301000022200600050","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-11번지 (2층) "
"디지털일신","301000022199400322","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 60-1번지 "
"월드포토17분","301000022200001364","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-9번지 "
"해우토탈콤","301000022200001515","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-5번지 외67호 "
"주식회사 삼현","301000022200001845","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 60-1번지 "
"(주)씨엠와이피앤피","301000022200400003","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-7번지 (2층) "
"(주)색채원프로세스","301000022200700009","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-6번지 (2층) "
"케이포스트","301000022200001359","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 50-5번지 "
"(주)포토랜드","301000022200001368","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 51-7번지 국제빌딩별관 "
"원플러스","301000022200001795","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 50-1번지 (301호) "
"창성탑컴","301000022200300106","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 49-7번지 (3층) "
"동서","301000022200600033","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동2가 7-3번지 303호 "
"(주)도트애드","301000022200900014","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","서울특별시 중구 필동로 53 202호 (필동3가 삼경빌딩)","서울특별시 중구 필동3가 62-11번지 202호 "
